ID;companyName;businessField;City;phoneNumber(+62);Email
0;Wind Boost;Technology;Jakarta;82322075648;customerservice@windboost.com
1;Quantum Tech;Technology;Boyolali;76495268700;admin@quantumtech.com
2;Farmlink;Trading;Boyolali;86110354523;sales@farmlink.com
5;Naughty Pythonic;Artificial Intelligence;Jakarta;97517333860;admin@naughty.com
7;Codey Byte;Technology;Bandung;8122546789;codey@byte.com
3;Algo Booster;Mining;Balikpapan;31309309181;algo@booster.com
4;Techno Decision;Manufacturing;Jakarta;49600003718;admin@technodecision.com
6;Byte Stopper;Mining;Semarang;30517353538;byte@stopper.com
10;Scam Slicer;Manufacturing;Balikpapan;17534991896;customerservice@scamslicer.com
8;Crypto Forge;Artificial Intelligence;Semarang;66415679561;ceo@cryptoforge.com
9;Shadow Bytes;Trading;Bandung;11438331964;trading@shadowbytes.com
17;Krakatau Steel;Manufacturing;Cilegon;93667212323;plugin@krakatausteel.com
14;Dirgantara Indonesia;Aviation;Bandung;53597936523;redstar@dirgantara.com
24;Indonesia Power;Electrivity;Cirebon;71517762177;electricity@power.com
15;Conoco Indonesia;Energy;Jakarta;59877943040;operational@conoco.com
19;Bakrie Pipe Industries;Manufacturing;Bekasi;11331309952;admin@bakriepipe.com
20;Astra Daihatsu Motor;Aviation;Jakarta;42172882257;customer@astradaihatsu.com
16;Sanbe Farma;Aviation;Balikpapan;36540877997;operationalsanbe@farma.com
